Title,Hinban,Hinmei,KoushinNo,Customer,Maker,Status
"513","K2045B1C","BRACKET（コの字）","14","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"514","K2045B1C","BRACKET（コの字）","15","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"515","HZ-264-01（303）","BRKT,SIDE MTG","6","住友理工㈱","テックアダチ","引き渡し準備済"
"516","35732-B2110","CARRIER,PLANETARY（4PIN)","7","福寿","西岡精工","引き渡し準備済"
"517","4FA43 03000","ROD","2","㈱サンノハシ","テックアダチ","引き渡し準備済"
"518","99103-00123","スリーブソレノイド","26","㈱名光精機","テックアダチ","引き渡し準備済"
"519","99103-00123","スリーブソレノイド","27","㈱名光精機","テックアダチ","引き渡し準備済"
"520","40NR0050000","CSR8100ｽﾊﾟｲﾀﾞLOWB","3","シマノ","テックアダチ","初品提出中"
"521","40NR0050000","CSR8100ｽﾊﾟｲﾀﾞLOWB","4","シマノ","テックアダチ","その他"
"522","HZ-351C-1","BRKT,ENG SIDE MTG","2","住友理工㈱","八州製作所","引き渡し準備済"
"523","RF3264-14","HOLDER-RH","11","㈱プロスパイラマニュファクチャリング","テックアダチ","引き渡し準備済"
"524","RF3265-14","HOLDER-LH","11","㈱プロスパイラマニュファクチャリング","テックアダチ","引き渡し準備済"
"525","66R-45361-00-00-80","CAP，LOWER　CASING","2","ヤマハ発動機㈱","","鋳造試作待ち"
"526","079618-1340","スリーブバルブ","22","光","西岡精工","初品提出中"
"527","079618-1340","スリーブバルブ","23","光","西岡精工","初品提出中"
"528","229718-0460","スリーブ","15","光","テックアダチ","引き渡し準備済"
"529","229718-0460","スリーブ","16","光","テックアダチ","引き渡し準備済"
"530","HZ-350-02","No2　BRACKET","3","住友理工㈱","愛豊精機","加工試作待ち"
"531","UN-377C-00","INNER","4","住友理工㈱","テックアダチ","初品提出中"
"532","JLA17-000010","SLEEVE、LINER　SOLENOID","3","株式会社 ジェイテクト","テックアダチ","引き渡し準備済"
"533","UN-377C-00","INNER","5","住友理工㈱","テックアダチ","合格済/予備ピン手配中"
"534","UN-376D-00","INNER","5","住友理工㈱","テックアダチ","引き渡し準備済"
"535","UN-376D-00","INNER","4","住友理工㈱","テックアダチ","合格済/予備ピン手配中"
"536","TK-338D-02","INNER","2","住友理工㈱","テックアダチ","初品提出中"
"537","99103-00122","スリーブソレノイド","Z10","㈱名光精機","テックアダチ","ASSＹまち"
"538","A1017K00","ROD","2","TOYO TIRE㈱","型技","寸検待ち"
"539","A2030B10","BRACKET（コの字）","6","TOYOTIRE","西岡精工","その他"
"540","A2030B10","BRACKET（コの字）","7","TOYOTIRE","西岡精工","その他"
"541","TK-339A-02","INNER","2","住友理工","協正金型","その他"
"542","TK-340C-02","INNER","2","住友理工","協正金型","その他"
"543","K2030B0D","BRACKET（丸一）","10","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"544","K2030B0D","BRACKET（丸一）","11","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"545","TK-308A-01","BRACKET","2","住友理工","","その他"
"546","TK-311C-1","BRACKET","2","住友理工","","その他"
"547","TK-314A-01","BRACKET","2","住友理工","","その他"
"548","TK-317A-1","BRACKET","2","住友理工","","その他"
"549","TK-334C-1","INNER","2","住友理工㈱","テックアダチ","合格済/予備ピン手配中"
"550","ST-R7020","ADAPTER R","6","シマノ","協正金型","初品提出中"
"551","ST-R7020","ADAPTER L","6","シマノ","協正金型","初品提出中"
"552","NAK576A401","ハウジング","5","㈱名光精機","テックアダチ","引き渡し準備済"
"553","GF600826-3","END PLATE","5","ビークルエナジージャパン","テックアダチ","初品提出中"
"554","K1054K0B","ROD","10","TOYO TIRE㈱","テックアダチ","合格済/予備ピン手配中"
"555","K1054K0B","ROD","9","TOYO TIRE㈱","テックアダチ","合格済/予備ピン手配中"
"556","K1113B00","BRACKET","5","TOYO TIRE㈱","フジイ金型","製作段階（作成・承認含む）"
"557","K4007B0B","BRACKET（Lの字）","21","TOYO TIRE㈱","フジイ金型","引き渡し準備済"
"558","K4007B0B","BRACKET（Lの字）","22","TOYO TIRE㈱","フジイ金型","合格済/予備ピン手配中"
"559","JF1G300248801","CENTER　BLOCK","2","ビークルエナジージャパン","テックアダチ","その他"
"560","K2068B2B","BRACKET（コの字）","6","TOYO TIRE㈱","テックアダチ","その他"
"561","TG-719-01","BRACKET","39","住友理工","テックアダチ","その他"
"562","DY-154-02","BRACKET","5","住友理工㈱","西岡精工","加工試作待ち"
"563","K1113B00","BRACKET","4","TOYO TIRE㈱","フジイ金型","引き渡し準備済"
"564","K2046B2B","BRACKET","10","TOYO TIRE㈱","フジイ金型","引き渡し準備済"
"565","K4006B0A","BRACKET（Lの字）","7","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"566","TG-719-01","BRACKET","40","住友理工㈱","テックアダチ","その他"
"567","TG-719-01","BRACKET","41","住友理工㈱","テックアダチ","その他"
"568","RF3264-14","HOLDER-RH","12","プロスパイラM","フジイ金型","引き渡し準備済"
"569","RF3265-14","HOLDER-LH","12","プロスパイラM","フジイ金型","引き渡し準備済"
"570","TK-199-04","BRACKET　No.２","3","住友理工㈱","西岡精工","引き渡し済"
"571","NAK576A392","ハウジング","17","㈱名光精機","西岡精工","引き渡し準備済"
"572","35732-B2110","CARRIER,PLANETARY（4PIN)","8","福寿","西岡精工","合格済/予備ピン手配中"
"573","35732-B2130","CARRIER,PLANETARY（3PIN)","8","福寿","西岡精工","引き渡し済"
"574","35732-B2130","CARRIER,PLANETARY（3PIN)","9","福寿","西岡精工","引き渡し準備済"
"575","A2RT0100000","BRM8100キャリパーR","10","シマノ","西岡精工","初品提出中"
"576","A2RT0100000","BRM8100キャリパーL","10","シマノ","西岡精工","寸検待ち"
"577","K4019B0A","BRACKET","2","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"578","K4013B0C","BRACKET,RR,EM","4","TOYO TIRE㈱","フジイ金型",""
"579","K1105K0B","ROD","2","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"580","TK-291B-01","BRACKET","4","住友理工㈱","フジイ金型","金型工事中"
"581","JF1G300248301","END　BLOCK","3","ビーグルエナジージャパン㈱","テックアダチ","引き渡し準備済"
"582","ND-111B-1","BRACKET-DIFF　MTG","2","住友理工㈱","フジイ金型","引き渡し準備済"
"583","TK-289B-01","BRACKET","4","住友理工㈱","フジイ金型","引き渡し準備済"
"584","99103-00122","スリーブソレノイド","A11","㈱名光精機","型技","鋳造試作待ち"
"585","RJ0624-17","BRACKET","10","㈱プロスパイラマニュファクチャリング","テックアダチ","引き渡し準備済"
"586","42S22000000","RTMT800 ディスクアダプターS","3","㈱シマノ","","鋳造試作待ち"
"587","C0C0L50040000","CSM6100/8100/7100　スパイダーA","38（40：41）","㈱シマノ","協正金型","寸検待ち"
"588","C0L50040000","CSM6100/8100/7100　スパイダーA","37次型","㈱シマノ","協正金型","寸検待ち"
"589","A2030B10","BRACKET（コの字）","8","TOYO TIRE㈱","西岡精工","合格済/予備ピン手配中"
"590","A2030B10","BRACKET（コの字）","9","TOYO TIRE㈱","西岡精工","合格済/予備ピン手配中"
"591","A2030B10","BRACKET（コの字）","10","TOYO TIRE㈱","西岡精工","合格済/予備ピン手配中"
"592","A2030B10","BRACKET（コの字）","11","TOYO TIRE㈱","西岡精工","合格済/予備ピン手配中"
"593","K1133B30","BRACKET（丸一）","2","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"594","K1133B30","BRACKET（丸一）","3","TOYO TIRE㈱","テックアダチ","引き渡し準備済"
"595","K2030B0D","BRACKET（丸一）","12","TOYO TIRE㈱","テックアダチ","初品提出中"
"596","K2030B0D","BRACKET（丸一）","13","TOYO TIRE㈱","テックアダチ","初品提出中"
"597","GF700673A/GF700674A","END PLATE N/P","5","ビークルエナジージャパン","テックアダチ","その他"
"598","NAK576A433","ハウジング","6","㈱名光精機","テックアダチ","初品提出中"
"599","K2068B2B","BRACKET（コの字）","7","TOYO TIRE㈱","テックアダチ","寸検待ち"
"600","K2068B2B","BRACKET（コの字）","8","TOYO TIRE㈱","テックアダチ","寸検待ち"
"601","12306-B2170-11","エンジンサポートブラケット、LH","4","丸五ゴム","協正金型","その他"
"602","1T0937-11","No.2　BRACKET","4","㈱プロスパイラマニュファクチャリング","テックアダチ","初品提出中"
